ds,yhat,yhat_lower,yhat_upper
2023-01-01,9837.617988913917,3275.705705841974,16556.434026723186
2023-01-02,8791.672184939987,1482.7285880745203,15601.536004983482
2023-01-03,8255.412315956863,1277.678927311199,15059.340880752039
2023-01-04,8404.281847601396,1047.4946374641106,14872.053434246258
2023-01-05,8756.92206602925,1751.7380199974025,15113.691330406918
2023-01-06,8225.31246698868,2286.6926701748353,15235.339431779372
2023-01-07,8633.094531762828,1762.1066956542766,15453.324024300513
2023-01-08,9819.237537204632,3003.5762915448768,16127.815883312396
2023-01-09,8713.744101523836,2374.541338163001,15499.669983451786
2023-01-10,8118.936309318709,1537.8026783769901,15018.405658001813
2023-01-11,8211.114414804799,2295.67537165512,15101.24787243862
2023-01-12,8509.764934807421,1746.5386332440185,15469.957999830634
2023-01-13,7927.688583536403,1229.6950731822606,14735.868178466078
2023-01-14,8289.311008483177,1535.2206494417478,15048.630918402094
2023-01-15,9434.335162017365,3089.297288592367,16295.766935312704
2023-01-16,8293.433242858371,774.0532138160639,15119.50729687951
2023-01-17,7669.519324676439,1144.8259238560454,14378.482315966294
2023-01-18,7739.3949803613705,1216.2713068803203,14328.649072280894
2023-01-19,8022.945050635927,741.3673095827763,14664.824736185607
2023-01-20,7433.254364924069,389.501330335869,13517.413855171873
2023-01-21,7794.9087370555235,319.45147321430625,14012.878031195143
2023-01-22,8947.639429383284,2653.343400025907,15706.97273717393
2023-01-23,7822.009361426157,1001.9768402171724,14611.015530092995
2023-01-24,7220.682492276306,179.45966197620115,14230.015598321585
2023-01-25,7320.068954445495,413.7702491020792,14119.39845228558
2023-01-26,7639.523302132608,205.90592229346967,13681.95903517165
2023-01-27,7091.466829975484,772.0042949315904,13812.884611335387
2023-01-29,8703.045662427947,2236.823242211296,15689.974323008455
2023-01-30,7631.076739163086,847.6955815131487,14352.522099398937
2023-01-31,7085.377122146085,425.99884959880904,13605.44829233193
2023-02-01,7241.220569038609,512.339838415719,13757.933653282986
2023-02-02,7616.789095451278,1361.9546286049786,14812.155361428662
2023-02-03,7123.319866733948,-229.6876510920667,13208.808202953749
2023-02-04,7583.44081214129,604.5967645804686,14510.522315042423
2023-02-05,8834.853556114771,1855.530009017013,15163.37446781322
2023-02-06,7806.061204947314,690.8043781611159,14592.484615609703
2023-02-07,7297.681556878002,695.2452701007309,14380.055943443895
2023-02-08,7484.137345574774,645.7696734979733,14246.644314856316
2023-02-09,7882.899828425615,1082.7702928677581,14807.926081036443
2023-02-10,7404.655565151576,357.38155976294644,14122.63790371971
2023-02-11,7871.658641636351,814.5170775961119,14728.265066510337
2023-02-12,9121.42638213203,1995.201163552168,15358.922474434828
2023-02-13,8082.475619920178,1477.9108983516917,15021.176756898254
2023-02-14,7555.639723958283,1185.2267104168802,14201.696185866798
2023-02-15,7715.757733595623,1356.303806924661,14582.268069199032
2023-02-16,8080.911778796336,1163.6875517564188,14799.165805405386
2023-02-17,7562.582629961141,946.652818811515,14282.517487406501
2023-02-18,7983.98576791489,1253.88616860718,14898.046925766379
2023-02-19,9183.7462912736,3029.30142726638,16221.964028421364
2023-02-20,8091.610140589278,1300.7803649296445,14646.398831791144
2023-02-21,7509.732374370529,886.0184722228714,13953.523374401175
2023-02-22,7614.334504191933,684.8719382106606,14244.154638882546
2023-02-23,7924.907824239146,1353.130088473261,14913.84277637285
2023-02-24,7354.3334220847755,470.7896980536388,13986.314259550709
2023-02-25,7727.182167917663,934.630835751894,14482.574348496073
2023-02-26,8883.353946426869,2555.0084441426147,15460.3107121243
2023-02-27,7753.754572919897,1242.8310857451156,14722.95774270935
2023-02-28,7141.552079788636,653.5170312507648,13917.31488979237
2023-03-01,7223.805293348812,552.5575895320594,14235.792719389961
2023-03-02,7520.642484785063,720.7959743272829,14403.648329488751
2023-03-03,6945.361540531357,683.6921164552039,13586.787030984875
2023-03-04,7322.7155943590415,382.2518745426195,13908.756244491698
2023-03-05,8492.543896288715,1605.4770038726429,16039.57455359866
2023-03-06,7385.446719064338,609.8662829579371,13829.345629780688
2023-03-07,6804.046181715857,268.85124723433296,13564.474133801397
2023-03-08,6924.6259289454265,334.84855873325137,13684.122568002382
2023-03-09,7266.327288795634,352.8539048552036,14085.260127594724
2023-03-10,6741.27301341408,87.55843582595887,12669.739531954152
2023-03-11,7172.8820303914645,180.79605823901798,13763.965348464873
2023-03-12,8399.53430131393,1641.833894332289,14911.44167919927
2023-03-13,7350.283760762702,383.8429334299747,13911.069218922356
2023-03-14,6826.160259108132,373.1481098150832,13491.932518409909
2023-03-15,7001.852385887743,126.12952593028771,14163.863608000942
2023-03-16,7394.947656329528,863.3134091315878,14318.753873172976
2023-03-17,6916.099977441851,382.7030792596875,13514.738122837758
2023-03-18,7387.386616417742,1026.2993898768643,13994.162286623985
2023-03-19,8646.012579743414,1624.732238365336,15225.065364774857
2023-03-20,7620.059237866988,1011.8375993574665,14697.130615481055
2023-03-21,7109.817062564005,160.61057784987636,13769.378071634364
2023-03-22,7289.493410721397,664.9811379648062,14491.999478361184
2023-03-23,7676.471035462469,601.4147651808545,14414.124081445963
